beer_id,name,type,ABV
26,Narwhal Imperial Stout,Imperial Stout,10.2
27,Oktoberfest,Amber Lager,6
30,Dawn of the Red,Red Ale,7
31,Easy Way IPA,IPA,4.7
32,Noir,Milk Stout,7.6
33,Oatis,Oatmeal Stout,7
34,Total Domination IPA,IPA,6.7
35,Velocihoptor,Imperial IPA,8.4
36,Fresh Squeezed IPA,IPA,6.4
40,Jubelale,Winter Ale,6.7
41,Overcast Espresso Stout,Oatmeal Stout,5.8
42,Line Dry Rye IPA,IPA,6.3
43,The Perfect Storm,Double IPA,9
44,Dreadnut Export Stout,Stout,7.6
45,Polar Melt Pale Ale,Pale Ale,6.3
46,Daywalker Irish Red,Red Ale,4.8
47,Pub Life IPA,IPA,7
